HAVE_MILITARY_SCORE_LESS_THAN;Ter uma pontuação militar menor que:;Disposent d'un score militaire inférieur à :  ;Geringere militärische Punktzahl als ;;Tiene una puntuación militar menor que: ;;;;;;;;x;
STRATA_NEED_LESS_THAN;Necessidades atendidas, a menos que;Besoins satisfaits à moins de;Erfüllte Bedürfnisse weniger als;;Necesidades satisfechas a menos de;;;;;;;;x;
STRATA_NEED_MORE_THAN;Necessidades satisfeitas de pelo menos;Besoins satisfaits d'au moins;Erfüllte Bedürfnisse mindestens;;Necesidades satisfechas a;;;;;;;;x;
HAVE_LESS_POPS_WANTING_POLITICAL_REFORM_THAN;Menos deLess than $VAL$ querem reforma política.;Moins de $VAL$ souhaitent une réforme politique.;Weniger als $VAL$ wollen politische Reformen.;;Menos de $VAL$ quieren reformas políticas.;;;;;;;;x;
HAVE_MORE_POPS_WANTING_POLITICAL_REFORM_THAN;Pelo menos $VAL$ quer reforma política.;Au moins $VAL$ souhaitent une réforme politique.;Mindestens $VAL$ wollen politische Reformen.;;Al menos $VAL$ quieren reformas políticas.;;;;;;;;x;
HAVE_LESS_POPS_WANTING_SOCIAL_REFORM_THAN;Menos que  $VAL$ querem reforma social.;Moins de $VAL$ souhaitent une réforme sociale.;Weniger als $VAL$ wollen soziale Reformen.;;Menos de $VAL$ quieren reformas sociales.;;;;;;;;x;
HAVE_MORE_POPS_WANTING_SOCIAL_REFORM_THAN;Pelo menos $VAL$ querem reforma social.;Au moins $VAL$ souhaitent une réforme sociale.;Mindestens $VAL$ wollen soziale Reformen.;;Al menos $VAL$ quieren reformas sociales.;;;;;;;;x;
CSA_proletarian_dictatorship;Estados Confederados da América;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
USA_presidential_dictatorship;Estados Unidos;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_presidential_dictatorship;Estados Confederados da América;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
