RECRUITED_PERCENTAGE_LESS_THAN;Menos de §Y$VAL$§W% de possíveis soldados recrutados.\n;Moins de §Y$VAL$§W % des soldats potentiels ont été recrutés.\n;Weniger als §Y$VAL$§W% der möglichen Soldaten rekrutiert.\n;;Menos del §Y$VAL$§W% de los soldados posibles reclutados.\n;;;;;;;;x;;;
RECRUITED_PERCENTAGE_MORE_THAN;Pelo menos §Y$VAL$§W% de possíveis soldados recrutados.\n;Au moins §Y$VAL$§W % des soldats potentiels ont été recrutés.\n;Mindestens §Y$VAL$§W% der möglichen Soldaten rekrutiert.\n;;Al menos el §Y$VAL$§W% de los soldados posibles reclutados.\n;;;;;;;;x;;;
SEPARATISM_TECH;Separatismo;Séparatisme;Separatismus;;Separatismo;;;;;;;;x;;;
INC_RES_TECH;Pontos de Pesquisa;Points de recherche;Forschungspunkte;;Puntos de investigación;;;;;;;;x;;;
TOTAL_POPS_NOT_TR;Menos que §Y$VAL$§W pops. em $WHERE$.\n;Moins de §Y$VAL$§W pop en $WHERE$.\n;Weniger als §Y$VAL$§W Bevs in $WHERE$.\n;;Menos de §Y$VAL$§W POB en $WHERE$.\n;;;;;;;;x;;;
TOTAL_POPS_TR;Pelo menos §Y$VAL$§W pops. em $WHERE$.\n;Au moins §Y$VAL$§W pop en $WHERE$.\n;Mindestens §Y$VAL$§W Bevs in $WHERE$.\n;;Al menos §Y$VAL$§W POB en $WHERE$.\n;;;;;;;;x;;;
IS_CRIME_NOT_HIGHER_THAN_EDU_TR;Se gasta mais em §Yeducation§W do que na administração.\n;Les dépenses d’§Yéducation§W sont supérieures aux dépenses d’administration.\n;Ausgaben für §YBildung§W übersteigen die für Verwaltung.\n;;Se gasta más en §Yeducación§W que en administración.\n;;;;;;;;x;;;
IS_CRIME_HIGHER_THAN_EDU_TR;Se gasta mais em §Yadministration§W do que na educação.\n;Les dépenses d’§Yadministration§W sont supérieures aux dépenses d’éducation.\n;Ausgaben für §YVerwaltung§W übersteigen die für Bildung.\n;;Se gasta más en §Yadministración§W que en educación.\n;;;;;;;;x;;;
ANY_AT_WAR_STARTS;Qualquer país com o qual você está em guerra.;Tout pays avec lequel nous sommes en guerre.;Jedes Land, mit dem Krieg herrscht.;;Cualquier país con el que estás en guerra.;;;;;;;;x;;;
REBEL_POWER_LESS_THAN;Ameaça Rebelde é menor que §Y$VAL$§W por cento.;La menace rebelle est inférieure à §Y$VAL$§W %.;Bedrohung durch Rebellen beträgt weniger als §Y$VAL$§W Prozent.;;La amenaza de los rebeldes es inferior al §Y$VAL$§W por ciento.;;;;;;;;x;;;
