disarming;Obrigado a desarmar;Devra se désarmer;Zur Entwaffnung gezwungen;;Obligado a desarmarse;;;;;;;;x;;
HAS_NOT_RECENTLY_LOST_WAR;NÃO perderam uma guerra nos últimos cinco anos.;N’ont perdu AUCUNE guerre au cours des cinq années passées.;Verlor keinen Krieg in den letzten 5 Jahren.;;NO ha perdido una guerra en los últimos cinco años.;;;;;;;;;x;
HAS_RECENTLY_LOST_WAR;Perderam uma guerra nos últimos cinco anos.;Ont perdu une guerre au cours des cinq années passées.;Verlor einen Krieg in den letzten 5 Jahren.;;Ha perdido una guerra en los últimos cinco años.;;;;;;;;;x;
IN_SAME_SPHERE;Este país está na mesma esfera de influência que nós.;Ce pays fait partie de la même sphère d’influence que nous.;Dieses Land ist in derselben Einflusssphäre wie wir.;;Este país está en la misma esfera de influencia que nosotros.;;;;;;;;;x;
NOR_reactionary;Partido Konge;Konge Partiet;Konge Partiet;;Konge Partiet;;;;;;;;;x;
ATJ_reactionary;A Facção Nacionalista;Faction nationaliste;Die nationalistische Fraktion;;La Facción Nacionalista;;;;;;;;;x;
ATJ_liberal;A Facção Liberal;Faction libérale;Die liberale Fraktion;;La Facción Liberal;;;;;;;;;x;
ATJ_anarcho_liberal;A Facção Radical;Faction radicale;Die radikale Fraktion;;La Facción Radical;;;;;;;;;x;
ATJ_socialist;A Facção Socialista;Faction socialiste;Die sozialistische Fraktion;;La Facción Socialista;;;;;;;;;x;
ATJ_communist;A Facção Comunista;Faction communiste;Die kommunistische Fraktion;;La Facción Comunista;;;;;;;;;x;
ATJ_fascist;A Facção Fascista;Faction fasciste;Die faschistische Fraktion;;La Facción Fascista;;;;;;;;;x;
CAL_conservative;Partido Democrata;Parti démocrate;Demokratische Partei;;Partido Demócrata;;;;;;;;;x;
KHI_conservative;Facção Real;Faction royale;Königsfraktion;;Facción Real;;;;;;;;;x;
KHI_liberal;A Facção Liberal;Faction libérale;Die liberale Fraktion;;La Facción Liberal;;;;;;;;;x;
KHI_reactionary;A Facção Nacionalista;Faction nationaliste;Die nationalistische Fraktion;;La Facción Nacionalista;;;;;;;;;x;
KHI_anarcho_liberal;A Facção Radical;Faction radicale;Die radikale Fraktion;;La Facción Radical;;;;;;;;;x;
KHI_socialist;A Facção Socialista;Faction socialiste;Die sozialistische Fraktion;;La Facción Socialista;;;;;;;;;x;
KHI_communist;A Facção Comunista;Faction communiste;Die kommunistische Fraktion;;La Facción Comunista;;;;;;;;;x;
KHI_fascist;A Facção Fascista;Faction fasciste;Die faschistische Fraktion;;La Facción Fascista;;;;;;;;;x;
MAD_conservative;Facção Real;Faction royale;Königsfraktion;;Facción Real;;;;;;;;;x;
MAD_liberal;A Facção Liberal;Faction libérale;Die liberale Fraktion;;La Facción Liberal;;;;;;;;;x;
MAD_reactionary;A Facção Nacionalista;Faction nationaliste;Die nationalistische Fraktion;;La Facción Nacionalista;;;;;;;;;x;
MAD_anarcho_liberal;A Facção Radical;Faction radicale;Die radikale Fraktion;;La Facción Radical;;;;;;;;;x;
MAD_socialist;A Facção Socialista;Faction socialiste;Die sozialistische Fraktion;;La Facción Socialista;;;;;;;;;x;
MAD_communist;A Facção Comunista;Faction communiste;Die kommunistische Fraktion;;La Facción Comunista;;;;;;;;;x;
MAD_fascist;A Facção Fascista;Faction fasciste;Die faschistische Fraktion;;La Facción Fascista;;;;;;;;;x;
TRI_conservative;Facção Real;Faction royale;Königsfraktion;;Facción Real;;;;;;;;;x;
TRI_liberal;A Facção Liberal;Faction libérale;Die liberale Fraktion;;La Facción Liberal;;;;;;;;;x;
TRI_reactionary;A Facção Nacionalista;Faction nationaliste;Die nationalistische Fraktion;;La Facción Nacionalista;;;;;;;;;x;
TRI_anarcho_liberal;A Facção Radical;Faction radicale;Die radikale Fraktion;;La Facción Radical;;;;;;;;;x;
TRI_socialist;A Facção Socialista;Faction socialiste;Die sozialistische Fraktion;;La Facción Socialista;;;;;;;;;x;
TRI_communist;A Facção Comunista;Faction communiste;Die kommunistische Fraktion;;La Facción Comunista;;;;;;;;;x;
TRI_fascist;A Facção Fascista;Faction fasciste;Die faschistische Fraktion;;La Facción Fascista;;;;;;;;;x;
TEX_communist;Partido Comunista;Parti communiste;Kommunistische Partei;;Partido Comunista;;;;;;;;;x;
BAD_fascist;NSDP;NSDP;NSDP;;NSDP;;;;;;;;;x;
BAV_fascist;NSDP;NSDP;NSDP;;NSDP;;;;;;;;;x;
WEI_fascist;NSDP;NSDP;NSDP;;NSDP;;;;;;;;;x;
WLL_fascist;Partido Rexista;Parti Rexiste;Rexistenpartei;;Partido Rexista;;;;;;;;;x;
NEW_fascist;Partido Fascista;Parti fasciste;Faschistische Partei;;Partido Fascista;;;;;;;;;x;
DIPLOMACY_CHANCE_JOIN_WAR;Probabilidade de entrar na guerra: §Y$VAL$§W;Probabilité de rejoindre : §Y$VAL$§W;Wahrscheinlichkeit des Kriegseintritts: §Y$VAL$§W;;Probabilidad de que se incorpore a la guerra: §Y$VAL$§W;;;;;;;;;x;
PO_ISBETTER;Se recusarmos esta oferta, sofreremos o seguinte:\n §R+$MIL$§W Militância, §R+$WE$§W Exaustão de guerra;Si nous refusons cette offre, nous subirons ce qui suit :\n §R+$MIL$§W de militantisme, §R+$WE$§W d’épuisement de guerre;Wenn wir dieses Angebot ablehnen, werden wird das folgende Konsequenzen haben:\n §R+$MIL$§W Militanz, §R+$WE$§W Kriegsmüdigkeit;;Si rechazamos la oferta sufriremos lo siguiente:\n §R+$MIL$§W de militancia, §R+$WE$§W de agotamiento bélico;;;;;;;;;x;
leave_soi_title;Deixe a Esfera de Influência;Quitter la sphère d’influence;Einflusssphäre verlassen;;Abandonar esfera de influencia;;;;;;;;;x;
leave_soi_desc;Podemos deixar essa Esfera de Influência, mas nosso antigo mestre pode declarar guerra para nos impedir.;Nous pouvons quitter cette sphère d’influence, mais notre ancien maître risque de nous déclarer la guerre pour nous arrêter.;Wir können diese Einflusssphäre verlassen, aber unser früherer Herr könnte uns den Krieg erklären, um uns daran zu hindern.;;Podemos abandonar esta esfera de influencia, pero nuestro antiguo señor podría declararnos la guerra.;;;;;;;;;x;
NEW_PARTY_AVAIL_SETUP;Novo partido político;Nouveau parti politique;Neue politische Partei;;Nuevo partido político;;;;;;;;;x;
