#;;;;;;;;;;;;;x;;;
WARSUBSIDIES_DI;Oferta de Subs. de Guerra;Offre d'indemnités de guerre;Angebot von Kriegssubventionen;;Oferta de subsidios de guerra;;;;;;;;x;;;
CANCEL_WARSUBSIDIES_DI;Cancel. de Subs. de guerra;Annulation des indemnités de guerre;Einstellung von Kriegssubventionen;;Cancelación de subsidios de guerra;;;;;;;;x;;;
ASKMILITARYACCESS_DI;Solicitação de Acesso Militar;Demande d'accès militaire;Anfrage nach Militärzugang;;Solicitud de acceso militar;;;;;;;;x;;;
CANCELASKMILITARYACCESS_DI;Cancelamento de Acesso Militar;Annulation d'un accès militaire;Einstellung von Militärzugang;;Cancelación de acceso militar;;;;;;;;x;;;
GIVEMILITARYACCESS_DI;Oferta de Acesso Militar;Offre d'accès militaire;Angebot von Militärzugang;;Oferta de acceso militar;;;;;;;;x;;;
CANCELGIVEMILITARYACCESS_DI;Cancelamento de Acesso Militar;Annulation d'un accès militaire;Einstellung von Militärzugang;;Cancelación de acceso militar;;;;;;;;x;;;
ALLIANCE_DI;Oferta de Aliança;Offre d'alliance;Bündnisangebot;;Oferta de alianza;;;;;;;;x;;;
CANCELALLIANCE_DI;Aliança Quebrada;Alliance rompue;Bündnis gebrochen;;Alianza disuelta;;;;;;;;x;;;
CALLALLY_DI;Chamar Aliado;Appel à un allié;Bündnisparter zu Hilfe rufen;;Conseguir aliado;;;;;;;;x;;;
DISCREDIT_DI;Desacreditar;Discréditer;In Verruf bringen;;Desprestigio;;;;;;;;x;;;
EXPELADVISORS_DI;Expulsão de Assessores;Expulsion de conseillers;Ausweisung von Beratern;;Expulsión de consejeros;;;;;;;;x;;;
BANEMBASSY_DI;Banimento da Embaixada;Fermeture d'ambassade;Botschaftsverbannung;;Cierre de embajada;;;;;;;;x;;;
INCREASEOPINION_DI;Aumento de opinião;Opinion en hausse;Meinungssteigerung;;Mejora de opinión;;;;;;;;x;;;
DECREASEOPINION_DI;Diminuição de Opinião;Opinion en baisse;Meinungsverringerung;;Merma de opinión;;;;;;;;x;;;
ADDTOSPHERE_DI;Adicionar à Esfera;Ajouter à la sphère;Zu Einflusssphäre hinzufügen;;Añadir a la esfera;;;;;;;;x;;;
REMOVEFROMSPHERE_DI;Remover da Esfera;Retirer de la sphère;Aus Einflusssphäre entfernen;;Eliminar de la esfera;;;;;;;;x;;;
INCREASERELATION_DI;Aumentar Relação;Améliorer les relations;Beziehung verbessern;;Mejorar relación;;;;;;;;x;;;
DECREASERELATION_DI;Diminuir a Relação;Détériorer les relations;Beziehung verschlechtern;;Empeorar relación;;;;;;;;x;;;
GUNBOAT_DI;Diplomacia da canhoneira;Diplomatie de la canonnière;Kanonenbootdiplomatie;;Diplomacia de las cañoneras;;;;;;;;x;;;
WAR_DI;Guerra;Guerre;Krieg;;Guerra;;;;;;;;x;;;
WARGOAL_DI;Adic. Objetivo de Guerra;Ajout d'un objectif de guerre;Hinzufügen von Kriegszielen;;Adición de objetivo bélico;;;;;;;;x;;;
PEACE_DI;Oferta de paz;Offre de paix;Friedensangebot;;Oferta de paz;;;;;;;;x;;;
TOPBAR_LEADERSHIP_MAX;Você já atingiu o armazenamento máximo de §Y$MAX$§W de liderança e nenhuma nova liderança será acumulada.\n;Vous avez atteint le nombre maximum de §Y$MAX$§W points de commandement et aucun nouveau point ne sera accumulé.\n;Sie haben bereits die maximale Anzahl von §Y$MAX$§W Anführerpunkten erreicht - Sie können keine weiteren aufsparen.\n;;Ya has alcanzado el nivel máximo de liderazgo, §Y$MAX$§W, y no se acumulará más.\n;;;;;;;;x;;;
IS_MOBILIZED_IRO;(Reservas estão mobilizadas);(Les réserves sont mobilisées);(Reserven sind mobilisiert);;(Las reservas están movilizadas);;;;;;;;x;;;
ADD_CRIME;Gain §Y$NAME$§W.\n;Obtention de §Y$NAME$§W.\n;Erhaltung von §Y$NAME$§W.\n;;Obtienes §Y$NAME$§W.\n;;;;;;;;x;;;
TOPBAR_WAR_PLUS;E seus satélites e domínios.\n;et leurs satellites et dominions.\n;und ihre puppetnstaaten und Dominions.\n;;Y sus satélites y dominios.\n;;;;;;;;x;;;
