#;;;;;;;;;;;;;x
COLONIAL_RANGE;Alcance Colonial: §G+$VAL$§W;Portée coloniale : §G+$VAL$§W;Kolonialreichweite: §G+$VAL$§W;;Alcance colonial: §G+$VAL$§W;;;;;;;;x
MODIFIER_LOCAL_SHIP_BUILD;Tempo de construção naval na área;Délai de construction de navire;Lokale Schiffsbauzeit;;Tiempo de construcción de barco en la zona;;;;;;;;x
CB_ALLOWED_ANNEX;Permitir Anexação;Autoriser l'annexion;Annektierung erlauben;;Permitir anexión;;;;;;;;x
CB_ALLOWED_ADD_TO_SPHERE;Adicionar à Esfera;Ajouter à la sphère;Zu Sphäre hinzufügen;;Añadir a la esfera;;;;;;;;x
CB_ALLOWED_RELEASE_PUPPET;Libertação de um estado fantoche;Libération d'un État fantoche;Entlassung von Marionettenstaat;;Liberación de títere;;;;;;;;x
CB_ALLOWED_STATUS_QUO;Retornar ao Status Quo;Retour au statu quo;Rückkehr zum Status Quo;;Volver al 'Statu Quo'.;;;;;;;;x
CB_ALLOWED_TRANSFER_PROVINCES;Transferência de províncias;Transfert des provinces;Übertragung von Provinzen;;Transferencia de provincias;;;;;;;;x
CB_ALLOWED_PRESTIGE;Redução do Prestígio;Diminution du prestige;Prestige-Reduzierung;;Reducción de prestigio;;;;;;;;x
CB_ALLOWED_CONCESSION;Reconhecer a derrota;Concéder la défaite;Niederlage eingestehen;;Admitir derrota;;;;;;;;x
MAINTENANCE_DESC;Necessidade de materiais para manutenção:;Besoin en matériaux pour la maintenance :;Benötigte Instandhaltungsgüter:;;Bienes de mantenimiento necesarios:;;;;;;;;x
MISSING_MAINTENANCE;A produção é reduzida para §R$PERC$§W uma vez que a fábrica não possui produtos de manutenção;La production est réduite à §R$PERC$§W, car l'usine manque de matériaux pour la maintenance.;Leistung wird auf §R$PERC$§W reduziert, da es der Fabrik an Instandhaltungsgütern fehlt.;;La producción se ha reducido hasta un §R$PERC$§W, ya que a la fábrica le faltan bienes de mantenimiento;;;;;;;;x
PROCEED;Aceitar;Accepter;Fortfahren;;Proceder;;;;;;;;x
ENDGAME_HEADLINE;Fim de jogo;Game Over;Das Spiel ist jetzt zu Ende;;Fin de la partida;;;;;;;;x
ENDGAME_DESC;Cem anos se passaram e nós entramos na era moderna. O mundo é um lugar radicalmente diferente, como foi para o seu país?;Cent ans ont passé et nous sommes entrés dans une ère moderne. Le monde est un endroit radicalement différent, comment cela s'est-il  passé pour votre pays ?;Einhundert bedeutsame Jahre sind vergangen und die Neuzeit ist jetzt angebrochen. Die Welt hat sich radikal verändert, wie ist es Ihrem Land ergangen?;;Ha transcurrido un centenar de años transcendentales y hemos entrado en la era moderna. El mundo es lugar radicalmente distinto, ¿cómo le ha ido a tu país?;;;;;;;;x 
NEEDS_BOUGHT;Necessidades estimadas para hoje:;Estimation des besoins pour aujourd'hui :;Geschätzte heutige Bedürfnisse:;;Necesidades estimadas para hoy:;;;;;;;;x
TOTAL_NEEDS_BOUGHT;Custo das necessidades estimadas:;Estimation du coût des besoins:;Kosten der geschätzten Bedürfnisse:;;Coste de necesidades estimadas:;;;;;;;;x
TOTAL_SOLD_FOR;Ontem nós produzimos $NUM$ de §Y$GOOD$§W que foram vendidos por $CASH$¤;Hier, nous avons produit $NUM$ §Y$GOOD$§W qui se sont vendus pour $CASH$¤;Gestern haben wir $NUM$ §Y$GOOD$§W produziert, die für $CASH$¤ verkauft wurden;;Ayer produjimos $NUM$ §Y$GOOD$§W, que vendimos por $CASH$¤;;;;;;;;x
COULDNT_AFFORD;Fábrica não pôde comprar todos os seus insumos ontem;Hier, l'usine ne pouvait pas se permettre d'acheter toutes ses matières premières.;Die Fabrik hatte gestern nicht genug Geld um alle nötigen Inputgüter zu kaufen;;Ayer, la fábrica no pudo comprar todos sus recursos;;;;;;;;x
INPUT_LACKING;Não há o suficiente de §Y$GOOD$§W no mercado para satisfazer as necessidades de entrada da fábrica;Il n'y a pas assez de §Y$GOOD$§W sur le marché pour satisfaire les besoins en matières premières de l'usine.;Es gibt nicht genug §Y$GOOD$§W auf dem Markt um alle Inputgüter für die Fabrik zu befriedigen;;No hay suficiente §Y$GOOD$§W en el mercado para satisfacer los recursos que necesita la fábrica;;;;;;;;x
OUTPUT_WASTED;$NUM$ de $PRODUCED$ §Y$GOOD$§W não foi vendido ontem;$NUM$ de $PRODUCED$ §Y$GOOD$§W n'ont pas été vendus hier.;Gestern wurden $NUM$ von $PRODUCED$ §Y$GOOD$§W nicht verkauft;;$NUM$ de lo(a)s $PRODUCED$ §Y$GOOD$§W no se vendieron ayer;;;;;;;;x
TRADE_CONFIRM_DESC;Definir um comércio manual significa que podemos acabar tomando empréstimos para pagar compras.;Mettre le commerce en manuel, signifie que nous pourrions avoir à prendre des prêts pour payer les achats.;Mit einer manuellen Handelsorder kann es passieren, dass wir Kredite aufnehmen um die Einkäufe zu tätigen;;Fijar un comercio manual significa que podemos acabar pidiendo préstamos para hacer compras.;;;;;;;;x
BUDGET_TAX_EFFICIENCY;Eficiência tributária: §Y$VALUE$%§W;Efficacité fiscale : §Y$VALUE$%§W;Steuereffizienz: §Y$VALUE$%§W;;Eficacia impositiva: §Y$VALUE$%§W;;;;;;;;x
BUDGET_TAX_EFFECT;Imposto efetivo: §Y$VALUE$%§W;Imposition effective : §Y$VALUE$%§W;Effektiver Steuersatz: §Y$VALUE$%§W;;Impuesto efectivo: §Y$VALUE$%§W;;;;;;;;x
