MULTI_SEL_DESC;§GSHIFT+LMB§! para escolher várias unidades da seleção atual.;;§GSHIFT+LMT§!, um mehrere Einheiten in der momentanen Auswahl auszuwählen.;;;;;;;;x;;;;
SM_DETAILS;Detalhes;;Details;;;;;;;;x;;;;
DISBAND_ALL;Dissolver todas as unidades seleccionadas;;Alle ausgewählten Einheiten auflösen;;;;;;;;x;;;;
DISBAND_ALL_TITLE;Desmantelar todas as unidades;;Alle Einheiten auflösen;;;;;;;;x;;;;
DISBAND_ALL_DESC;Você tem certeza que quer §RDISBAND§! §Y$NUM$§! unidades?;;Seid Ihr sicher, dass Ihr §Y$NUM$§! Einheiten §RAUFLÖSEN§! wollt?;;;;;;;;x;;;;
DATE_DIFF_A;$Y$ anos, $M$ meses e $D$ dias;;$Y$ Jahre, $M$ Monat) und $D$ Tage;;;;;;;;x;;;;
DATE_DIFF_B;$M$ meses e $D$ dias;;$M$ Monate und $D$ Tage;;;;;;;;x;;;;
DATE_DIFF_C;$D$ dias;;$D$ Tage;;;;;;;;x;;;;
torpedo_attacks;Ataques de Torpedo;;Torpedo-Angriffe;;;;;;;;x;;;;
TORPEDO_ATTACK;Ataque de Torpedo;;Torpedo-Angriff;;;;;;;;x;;;;
TORPEDO_ATTACK_DESC;Ataques de torpedos causam dano extra contra navios maiores.;;Torpedo-Angriffe richten gegen größere Schiffe mehr Schaden an.;;;;;;;;x;;;;
NAVAL_COMBAT_STACK_PENALTY_DESC;§YCoordination penalty §R$PEN$%§Y caused by poor communication in the fleet, it makes it more difficult for our ships to find targets. Affected by amount of our ships and potential targets.§!;;§YKoordinations-Malus §R$PEN$%§Y, der durch mangelhafte Kommunikation in der Flotte verursacht wird, wodurch es für unsere Schiffe schwieriger ist, Ziele zu finden. Wird durch die Schiffsanzahl und mögliche Ziele beeinflusst.§!;;;;;;;;x;;;;
BP_TAB_CURRENT;Planos Atuais;;Aktuelle Pläne;;;;;;;;;;x;;
BP_TAB_HISTORICAL;Planos Históricos;;Historische Pläne;;;;;;;;;;x;;
BP_TOOL_COLOR_RED;Vermelho;;Rot;;;;;;;;;;x;;
BP_TOOL_COLOR_GREEN;Verde;;Grün;;;;;;;;;;x;;
BP_TOOL_COLOR_BLUE;Azul;;Blau;;;;;;;;;;x;;
BP_TOOL_COLOR_YELLOW;Amarelo;;Gelb;;;;;;;;;;x;;
BP_TOOL_ARROW_SLIM;Slim Arrow;;Dünner Pfeil;;;;;;;;;;x;;
BP_TOOL_ARROW_MEDIUM_1;Medium Arrow 1;;Mittelgroßer Pfeil 1;;;;;;;;;;x;;
BP_TOOL_ARROW_MEDIUM_2;Medium Arrow 2;;Mittelgroßer Pfeil 2;;;;;;;;;;x;;
BP_TOOL_ARROW_MEDIUM_3;Medium Arrow 3;;Mittelgroßer Pfeil 3;;;;;;;;;;x;;
BP_TOOL_ARROW_THICK;Thick Arrow;;Dicker Pfeil;;;;;;;;;;x;;
BP_TOOL_BORDER_1;Border type 1;;Grenztyp 1;;;;;;;;;;x;;
BP_TOOL_BORDER_2;Border type 2;;Grenztyp 2;;;;;;;;;;x;;
BP_TOOL_BORDER_3;Border type 3;;Grenztyp 3;;;;;;;;;;x;;
BP_TOOL_BORDER_4;Border type 4;;Grenztyp 4;;;;;;;;;;x;;
BP_TOOL_BORDER_5;Border type 5;;Grenztyp 5;;;;;;;;;;x;;
BP_TOOL_ICON_AIRPLANE;Ícone de Avião;;Flugzeug-Symbol;;;;;;;;;;x;;
BP_TOOL_ICON_TANK;Ícone de Tanque;;Panzer-Symbol;;;;;;;;;;x;;
BP_TOOL_ICON_BOMB_1;Ícone de Bomba Pequena;;Kleine Bombe-Symbol;;;;;;;;;;x;;
BP_TOOL_ICON_BOMB_2;Ícone de Bomba Grande;;Große Bombe-Symbol;;;;;;;;;;x;;
BP_SAVE_PLAN_CONFIRM;Salvar Plano;;Plan speichern;;;;;;;;;;x;;
BP_SAVE_PLAN_CANCEL;Cancelar;;Abbrechen;;;;;;;;;;x;;
BP_SAVE_PLAN_PROMPT;Plano de batalha já existe!\nVocê deseja substituir?;;Kriegsplan existiert bereits!\nMöchtest Ihr diesen überschreiben?;;;;;;;;;;x;;
BP_DELETE_SAVED_PLAN_PROMPT;Tem certeza de que deseja excluir o plano de batalha salvo?;;Seid Ihr sicher, dass Ihr den gespeicherten Kriegsplan löschen möchtet?;;;;;;;;;;x;;
BP_DELETE_CURRENT_PLAN_PROMPT;Tem certeza de que deseja excluir o plano de batalha atual?;;Seid Ihr sicher, dass Ihr den aktuellen Kriegsplan löschen möchtet?;;;;;;;;;;x;;
BP_SHARED_WITH;Compartilhado com:;;Geteilt mit:;;;;;;;;;;x;;
BP_NEW_PLAN;Novo Plano;;Neuer Plan;;;;;;;;;;x;;
BP_TOOLTIP_TAB_CURRENT;Lista de planos de batalha atuais.;;Liste der aktuellen Kriegspläne.;;;;;;;;;;x;;
BP_TOOLTIP_TAB_HISTORICAL;Lista de planos de batalha históricos.\nClique em §YImport§! para adicionar o selecionado aos seus planos atuais.;;Liste der historischen Kriegspläne.\nKlickt auf §Yimportieren§!, um den ausgewählten Plan zu den Aktuellen hinzuzufügen.;;;;;;;;;;x;;
BP_TOOLTIP_TAB_SAVED;Lista de seus planos de batalha salvos.\nClique em §YImport§! para adicionar o selecionado aos seus planos atuais.;;Liste deiner gespeicherten Kriegspläne.\nKlickt auf §Yimportieren§!, um den ausgewählten Plan zu den Aktuellen hinzuzufügen.;;;;;;;;;;x;;
BP_TOOLTIP_NEW_PLAN;Crie um novo plano.;;Neuen Plan entwerfen.;;;;;;;;;;x;;
BP_TOOLTIP_REMOVE_PLAN;Excluir plano selecionado no momento.;;Momentan ausgewählten Plan löschen.;;;;;;;;;;x;;
BP_TOOLTIP_SHARE_PLAN;Toggle §Ysharing§! currently selected plan with your §Gally members§!.;;Schaltet §YTeilen§! des momentan ausgewählten Plans mit Eurem §GAllianz-Mitgliedern§! ein/aus.;;;;;;;;;;x;;
BP_TOOLTIP_SAVE_PLAN;Salvar o plano atualmente selecionado para o arquivo.;;Momentan ausgewählten Plan in Datei speichern.;;;;;;;;;;x;;
BP_TOOLTIP_RENAME_PLAN;Renomeie o plano atualmente selecionado.;;Momentan ausgewählten Plan umbenennen.;;;;;;;;;;x;;
BP_TOOLTIP_IMPORT_PLAN;Adicione o plano selecionado aos seus planos atuais.;;Ausgewählten Plan zu deinen aktuellen Plänen hinzufügen.;;;;;;;;;;x;;
BP_TOOLTIP_TOOL_SELECT;Clique no objeto para selecioná-lo.;;Auf Objekt klicken, um es auszuwählen.;;;;;;;;;;x;;
BP_TOOLTIP_TOOL_ARROW;Choose arrow type, and draw it on the map with §YLMB§!.\nHold §YShift§! + §YLMB§! to snap your arrow to another one.;;Wählt einen Pfeiltyp aus und zeichnet ihn mithilfe der §YLMT§! auf die Landkarte.\nHaltet §YShift§! + §YLMT§! gedrückt, um Euren Pfeil an einem anderen anzudocken.;;;;;;;;;;x;;
BP_TOOLTIP_TOOL_BORDER;Choose border type, and draw it on the map with §YLMB§!.;;Wählt einen Grenztyp aus und zeichne ihn mithilfe der §YLMT§! auf die Landkarte.;;;;;;;;;;x;;
BP_TOOLTIP_TOOL_ICON;Choose icon type, and draw it on the map with §YLMB§!.\nHold §YShift§! + §YMouse Wheel§! to rotate an icon.;;Wählt einen Symboltyp aus und zeichnt ihn mithilfe der §YLMT§! auf die Landkarte.\nHaltet §YShift§! + §YMausrad§! gedrückt, um das Symbol zu drehen.;;;;;;;;;;x;;
BP_TOOLTIP_TOOL_COLOR;Choose current color to draw arrows and icons.\nAlso applies the color to any currently selected arrow or icon.;;Wähle die aktuelle Farbe aus, um Pfeile und Symbole zu zeichnen.\nDiese Farbe wird auch für jeden momentan ausgewählten Pfeil oder jedes ausgewählte Symbol verwendet.;;;;;;;;;;x;;
BP_TOOLTIP_TOOL_TEXT;Place a text sign on the map.\nIf nothing selected - creates a new text.\nIf an arrow is selected - draws the text on the arrow.\nIf text sign selected - edits the text.\n§YShift§! + §YMouse Wheel§! to rotate the text.\n§YCtrl§! + §YMouse Wheel§! to scale the text.;;Setzt ein Textzeichen auf die Landkarte.\nWenn nichts ausgewählt wird –  Ein neuer Text wird erstellt.\nWenn ein Pfeil ausgewählt wird – Der Text wir auf den Pfeil gezeichnet.\nWenn das Textzeichen ausgewählt wird – der Text wird bearbeitet.\n§YShift§! + §YMausrad§!, um den Text zu drehen.\n§YStrg§! + §YMausrad§!, um den Text zu skalieren.;;;;;;;;;;x;;
BP_TOOLTIP_TOOL_ERASE;Delete selected object.;;Ausgewähltes Objekt löschen.;;;;;;;;;;x;;
BP_TOOLTIP_VISIBILITY;Toggle plan visibility on the map.;;Plansichtbarkeit auf der Landkarte ein-/ausschalten.;;;;;;;;;;x;;
MILITARY_SPENDINGS_LAND;Spending on §YLand§! units:;;Ausgaben für §YLand§!-Einheiten:;;;;;;;;x;;;;
