DIPLOMACY_AI_ACCEPTANCE;Resposta do(a) §Y$COUNTRY$§W's: §Y$ODDS$§W;;§Y$COUNTRY$§Ws Antwort: §Y$ODDS$§W;;;;;;;;x;;;;
TOO_SOON_FOR_REFORM;Temos que esperar até §Y$DATE$§W até que possamos promulgar outra reforma.;;Wir müssen bis §Y$DATE$§W warten, bevor wir eine weitere Reform erlassen können.;;;;x;;;;;;;;
SIEGE_EXTRA_ATTR;§R+$VAL$%§W attrition from resistance to the occupation;;§R+$VAL$%§W Zermürbung durch Widerstand gegen die Besetzung;;;;x;;;;;;;;
NO_SEPARATE_PEACE_CRISIS;Nós não podemos negociar uma paz separada em uma guerra de crise;;Wir können in einem Konfliktkrieg keinen separaten Frieden verhandeln ;;;;;;;;;;;x;
CRISIS_RESOLUTION_EFFECTS;Resolver a crise desta maneira lhe dará $VAL$ de prestígio.;;Die Beilegung des Konflikts auf diese Weise wird Euch $VAL$ Prestige geben.;;;;;;;;;;;x;
CRISIS_RESOLUTION_RELATIONS;As relações com os seguintes países mudarão:;;Die Beziehungen mit folgenden Ländern werden sich ändern:;;;;;;;;;;;x;
flintlock_rifle_armament;Rifle de Pederneira;;Steinschlossgewehr-Aufrüstung;;;;;;;;;;;x;
flintlock_rifle_armament_desc;Introduced at the beginning of the 17th century, the flintlock rapidly replaced earlier firearm-ignition technologies, such as the doglock, matchlock, and wheellock mechanisms. It continued to be in common use for over two centuries, replaced by percussion cap and, later, cartridge-based systems in the early-to-mid 19th century. Although long superseded by modern firearms, flintlock weapons enjoy continuing popularity with black-powder shooting enthusiasts.;;Das Steinschloss wurde im frühen 17. Jahrhundert eingeführt und ersetzte schnell die älteren Auslösemechanismen für Schusswaffen, wie z.B. das Schnappschloss, Luntenschloss oder Radschloss. Es war mehr als zwei Jahrzehnte im Einsatz, bevor es vom Zündhütchen und später, Anfang bis Mitte des 19. Jahrhunderts, von patronenbasierten Systemen abgelöst wurde. Auch wenn sie schon lange von modernen Feuerwaffen verdrängt wurden, erfreuen sich Steinschlosswaffen bei Schwarzpulver-Liebhabern immer noch großer Beliebtheit.;;;;;;;;;;;x;
post_napoleonic_army_doctrine;Doutrina do Exército Napoleônico;;Post-Napoleonische Armee-Doktrin;;;;;;;;;;;x;
post_napoleonic_army_doctrine_desc;A Revolução Francesa e as subsequentes Guerras Napoleônicas revolucionaram as estratégias militares. A influência desse período ainda era perceptível na Guerra Civil Americana e nas primeiras fases da Primeira Guerra Mundial. Com o surgimento de revólveres baratos e cidadãos recrutados, os exércitos cresceram fortemente em formações massivas. Isso tornou necessário dividir os exércitos primeiro em divisões e depois em corpo. A artilharia de divisão veio com as divisões: canhões móveis leves e de longo alcance com poder de fogo. Formações rígidas de lanceiros e mosqueteiros disparavam tiros maciços e abriram caminho para a infantaria leve nas linhas de fuzil.; light-weight, mobile cannon with great range and firepower. The rigid formations of pikemen and musketeers firing massed volleys gave way to light infantry fighting in skirmish lines.';;Die französische Revolution und die nachfolgenden Napoleonischen Kriege revolutionierten militärische Strategien. Der Einfluss dieser Periode war noch im amerikanischen Bürgerkrieg und den Anfangsphasen des ersten Weltkriegs spürbar. Mit dem Aufstieg billiger Handfeuerwaffen und der zum Kriegsdienst verpflichteten Bürger, wuchsen die Armeen stark zu Massenformationen an. Dies machte es erforderlich, Armeen zunächst in Divisionen und später inKorps aufzuteilen. Mit den Divisionen kam die Divisionsartillerie: leichte, mobile Kanonen mit großer Reichweite und Feuerkraft. Rigide Formationen von Pikenieren und Musketieren feuerten massive Salven ab und machten der leichten Infanterie in den Schützenlinien den Weg frei.;;;;;;;;;;;x
muzzle_loaded_rifle_armament;Carregador de Focinho;;Vorderlader-Aufrüstung;;;;;;;;;;;x;
muzzle_loaded_rifle_armament_desc;Um muzzleloader é qualquer arma de fogo em que o projtil e, geralmente, a carga de propulsante é carregado a partir do cano da arma;;Vorderlader sind Waffen, deren Projektile und Ladungen durch den Lauf geladen werden, im Gegensatz zu den Hinterladern. Handgewehre waren in den 1740ern weit entwickelt. Ein bekannter Vorderlader ist das Kentucky-Gewehr, das in Pennsylvania entwickelt wurde. Das amerikanische Langgewehr wurde vom deutschen Jagdgewehr weiterentwickelt.;;;;;;;;;;;x;
breech_loaded_rifle_armament;Carregador de Culatra;;Hinterlader-Aufrüstung;;;;;;;;;;;x;
breech_loaded_rifle_armament_desc;Um carregador de culatra é uma arma de fogo que é carregada na parte traseira da arma. Embora tenha sido desenvolvida já no final do século XIV, só teve mais sucesso com melhorias na precisão no século XIX.;;Ein Hinterlader ist eine Feuerwaffe, die mit Patronen oder Granaten in einer Kammer am hinteren Lauf der Waffe geladen wird. Auch wenn Hinterlader schon im späten 14. Jahrhundert entwickelt wurden, wurden sie erst mit Verbesserungen in der Präzision und ihrer Bauweise im 19. Jahrhundert erfolgreicher.;;;;;;;;;;;x;
bolt_action_rifle_armament;Parafuso de Ação;;Kammerverschluss-Aufrüstung;;;;;;;;;;;x;
bolt_action_rifle_armament_desc;Parafuso de Ação é um tipo de ação de arma de fogo em que o manuseio de cartuchos dentro e fora da câmara do cano da arma é operado pela manipulação manual do parafuso diretamente através de uma alça, que é mais comumente colocada no lado direito da arma (pois a maioria dos usuários são destros).;;Beim Kammerverschluss wird der Waffenbolzen manuell durch das Öffnen und Schließen des Hinterladerlaufs, mithilfe eines kleinen Hebels, betätigt. Das erste Gewehr mit Kammerverschluss wurde 1824 von Johann Nikolaus von Dreyse bei seiner Arbeit an Hinterlader-Gewehren hergestellt. Europäische Armeen entwickelten diese Gewehre im späten 19. Jahrhundert weiter und ihre Verwendung fand im ersten Weltkrieg ihren Höhepunkt, als alle kriegsbeteiligten Nationen ihre Truppen mit verschiedenen Entwicklungen dieses Designs ausrüsteten.;;;;;;;;;;;x;
machine_gun_armament;Metralhadora;;Maschinengewehr-Aufrüstung;;;;;;;;;;;x;
machine_gun_armament_desc;A Gatling ou Gatling Gun, é um tipo de metralhadora criado no século XIX por Richard Jordan Gatling, nos Estados Unidos, durante sua Guerra Civil. Foi projectada em 1861 e patenteada em 1862. Caracteriza-se por ter vários canos rotativos, que aumentam seu poder de fogo.; it was subsequently improved and used in the Franco-Prussian war and North-West Rebellion. Many were sold to other armies in the late 19th century and continued to be used into the early 20th century. The first self-powered machine gun was invented in 1885 by Sir Hiram Maxim. The 'Maxim gun' used the recoil power of the previously fired bullet to reload rather than being hand-powered, enabling a much higher rate of fire than was possible using earlier designs such as the Nordenfelt and Gatling weapons.;;Das Repetiergeschütz wurde 1861 von Richard Jordan Gatling patentiert und bot als erstes die Möglichkeit kontrollierter, aufeinanderfolgender Feuersalven mit automatischem Nachladen. Zu einem ersten, begrenzten Einsatz kam das Gewehr im amerikanischen Bürgerkrieg. Es wurde fortlaufend weiterentwickelt und kam auch im Deutsch-Französischen Krieg und im Nordwest-Widerstand zum Einsatz. Viele Gewehre wurden im späten 19. Jahrhundert an andere Armeen verkauft und bis ins frühe 20. Jahrhundert hinein verwendet. Das erste selbstladende Maschinengewehr wurde 1885 von Sir Hiram Maxim erfunden. Das Maxim-Maschinengewehr nutzte die Energie des Rückstoßes zuvor abgeschossener Kugeln zum Nachladen, keinen Handantrieb, und erlaubte eine höhere Feuerrate als frühere Entwicklungen, wie z.B. das Nordenfelt und das Gatling-Gewehr.;;;;;;;;;;;x
cuirassier_activation;Couraceiro;;Kürassiere;;;;;;;;;;;x;
cuirassier_activation_desc;Couraceiros eram soldados de cavalaria equipados com armadura e, posteriormente, com armas de fogo, aparecendo originalmente na Europa no século XV.;;Kürassiere waren berittene Kavalleriesoldaten, ausgerüstet mit Rüstung und Feuerwaffen, und tauchten erstmals im späten 15. Jahrhundert in Europa auf. Die ersten Kürassiere waren das Ergebnis gepanzerter Kavallerie, wie z.B. den Landsknechten und Halb-Ulanen, die ihre Lanzen ablegten und Pistolen als ihre Hauptwaffen wählten. Sie gewannen durch die Napoleonischen Kriege große Prominenz und wurden zuletzt zu Beginn des ersten Weltkrieges auf den Kriegsschauplätzen gesehen. Kürassiere werden bei vielen Ländern weiterhin als zeremonielle Truppen eingesetzt.;;;;;;;;;;;x;
dragoon_activation;Dragões;;Dragoner;;;;;;;;;;;x;
dragoon_activation_desc;Originalmente, um dragão era um tipo de soldado que se caraterizava por se deslocar a cavalo mas combater a pé. Inicialmente e até meados do século XVIII, as unidades de dragões constituíam, assim, uma espécie de infantaria montada. ;;Das Wort Dragoner bezog sich ursprünglich auf berittene Infanterie, die sowohl im Reiten als auch in Kampfkünsten der Infanterie  ausgebildet wurden. Mit der Zeit änderte sich die Anwendung, sodass sich Dragoner im 18. Jahrhundert zu konventionellen, leichten Kavallerieeinheiten und Besatzungen entwickelten. Dragoner-Regimenter etablierten sich im späten 17. und frühen 18. Jahrhundert in den meisten Armeen Europas. In den Napoleonischen Kriegen übernahmen Dragoner vorwiegend eine Kavallerie-Rolle, waren allerdings eine leichtere Klasse berittener Truppen als die gepanzerten Kürassiere.;;;;;;;;;;;x;
hussar_activation;Hussardos;;Husaren;;;;;;;;;;;x;
hussar_activation_desc;Hussardo do francês: hussard refere-se à classe de cavalaria ligeira, de origem sérvia e croata, mas subsequentemente via Hungria e imitada por vários países da Europa, que teve grande influência na estratégia militar dos séculos XVIII e XIX;;Husaren sind eine leichte Kavallerie-Einheit, die ihren Ursprung im 15. Jahrhundert in Ungarn hat. Ihre Bezeichnung und die charakteristische Kleidung dieser Reiter wurde in der Folgezeit weitgehend von leichten Kavallerie-Regimentern in Europa und anderen Armeen übernommen. Die Husaren spielten als Kavallerie in den Napoleonischen Kriegen eine wichtige Rolle. Diese leichte Kavallerie auf schnellen Pferden wurde in Gefechten und zur Erkundung eingesetzt.;;;;;;;;;;;x;
military_aviation;Aviação Militar;;Militärische Luftfahrt;;;;;;;;;;;x;
military_aviation_desc;A aviação militar, mais correctamente aeronáutica militar, é a área da aviação que é usada para fins exclusivamente militares, com o intuito de se realizar guerra aérea para fins ofensivos ou defensivos, incluindo a capacidade de transporte aéreo.;;Militärische Luftfahrt bedient sich Flugzeugen und anderen Fluggeräten zum Zwecke der Kriegsführung. Luftfahrzeuge, die schwerer als Luft sind, wurden schon früh als militärische Hilfsmittel erkannt. Das Wright Model A wurde 1909 von der U.S. Armee Nachrichtentruppe gekauft und 1911 nutzte Italien mehrere Luftfahrzeuge verschiedenster Art zur Erkundung, Foto-Aufklärung und Bombardierung im Italienisch-Türkischen Krieg. Im ersten Weltkrieg kamen in der militärischen Luftfahrt viele spezialisierte Fluggeräte zum Einsatz, z.B. als Aufklärer, Artilleriebeobachter, Kampfflugzeuge und Bomber.;;;;;;;;;;;x;
SIEGE;Cerco;;Belagerung;;;;;;;;;;;x;
TRANSFER_SUB_ALL;§GShift + LMB§! para transferir todos do mesmo tipo.;;§GUmschalttaste + LMT§!, um alle vom selben Typ zu transferieren.;;;;x;;;;;;;;
OBSOLETE_UNIT_TECH;§Y$UNIT$§W foi feito obsoleto por §Y$TECH$§W;;§Y$UNIT$§W wurde durch §Y$TECH$§W hinfällig;;;;;;;;;;;x;
ARMY_RECON_TOOLTIP;Eficiência de Reconhecimento: §Y$VAL$§!%;;Aufklärungs-Effizienz: §Y$VAL$§!%;;;;;;;;;;;x;
ARMY_RECON_DELAYED_TOOLTIP;Eficiência de Reconhecimento é a habilidade dos batedores do exército de reduzir o bônus de escavação dos exércitos inimigos e acelerar os cercos.\n\nEste exército contém §Y$RECONUNITS$§! brigadas de reconhecimento de um necessário de §Y$RECONMAXUNITS$§!, dando-lhe uma eficiência de reconhecimento de §Y$VAL$%§!.;;Aufklärungs-Effizienz ist die Fähigkeit der Späher dieser Armee, den Eingraben-Bonus feindlicher Armeen zu reduzieren und Belagerungen zu beschleunigen.\n\nDiese Armee enthält §Y$RECONUNITS$§! Aufklärungs-Einheiten von benötigten §Y$RECONMAXUNITS$§! und gibt eine Aufklärungs-Effizienz von §Y$VAL$%§!.;;;;;;;;;;;x;
ARMY_ENGINEER_TOOLTIP;Eficiência de Cerco: §Y$VAL$§!%;;Belagerungs-Effizienz: §Y$VAL$§!%;;;;;;;;;;;x;
ARMY_ENGINEER_DELAYED_TOOLTIP;Eficiência de cerco é a capacidade dos engenheiros e tanques deste exército para reduzir a eficácia dos fortes inimigos ao atacar e cercar.\n\nEste exército contém §Y$ENGINEERUNITS$§! engenheiros e/ou tanques de um necessário de §Y$ENGINEERMAXUNITS$§!, dando-lhe uma eficiência de cerco de §Y$VAL$%§!.;;Die Belagerungs-Effizienz ist die Fähigkeit der Ingenieure und Panzer dieser Armee, die Effektivität feindlicher Festungen bei Angriffen und Belagerungen zu reduzieren.\n\nDiese Armee enthält §Y$ENGINEERUNITS$§! Ingenieurs- und Panzereinheiten von benötigten §Y$ENGINEERMAXUNITS$§! und gibt eine Belagerungs-Effizienz von §Y$VAL$%§!.;;;;;;;;;;;x;
TENSION_DECAY;Base Decay: §Y$VAL$§!;;Basis-Zerfall: §Y$VAL$§!;;;;;;;;;;;x;
TENSION_FROM_GP_WARS;Grandes Potências em guerra: §Y$VAL$§!;;Im Krieg befindliche Großmächte: §Y$VAL$§!;;;;;;;;x;;;;
TENSION_FROM_GP_DISARMED;Grandes Potências desarmados: §Y$VAL$§!;;Entwaffnete Großmächte:  §Y$VAL$§!;;;;;;;;x;;;;
TENSION_FROM_GP_RANK;Great Power Ranking: §Y$VAL$§!;;Großmächte-Wertung: §Y$VAL$§!;;;;;;;;x;;;;
HAS_NOT_CULTURAL_SPHERE;NÃO tem uma esfera cultural;;besitzt KEINEN kulturellen Einflussbereich;;;;;;;;x;;;;
HAS_CULTURAL_SPHERE;Tem uma esfera cultural;;besitzt einen kulturellen Einflussbereich;;;;;;;;x;;;;
UCA;Estados Unidos da América Central;;Die USCA;;;;;;;;x;;;;
LOAD_SAVEGAME_FAIL;Falha ao carregar o jogo salvo.;;Laden des gespeicherten Spielstandes fehlgeschlagen.;;;;;;;;x;;;;
NEWS_TOOLTIP_UNREAD;Você tem §G$NUM$§! Jornal(is) não lido(s) de §G$MAX$§! Impresso(s).;;Ihr habt §G$NUM$§! ungelesene Zeitungen von §G$MAX$§! veröffentlichten.;;;;;;;;x;;;;
NEWS_TOOLTIP_NO_NEW;Não há jornais não lidos.;;Es gibt keine neuen, ungelesenen Zeitungen.;;;;;;;;x;;;;
become_independent_desc;Declare sua Independência;;Erklärt mit Waffengewalt Eure Unabhängigkeit von Eurem Herrscher;;;;;;;;x;;;;
CRISIS_DAYS_UNTIL_WAR;A guerra irromperá em §Y$DAYS$§! dias se uma solução diplomática não for encontrada.;;In §Y$DAYS$§! Tag(en) wird Krieg ausbrechen, wenn keine diplomatische Lösung gefunden wird.;;;;;;;;x;;;;
REMOVEFROMSPHERE_COST_NO_INFAMY;Isso vai custar §R$PRESTIGE$§! de prestígio;;Dies wird Euch §R$PRESTIGE$§! Prestige kosten;;;;;;;;x;;;;
REMOVEFROMSPHERE_COST;Isso vai custar §R$PRESTIGE$§! de prestígio e dar-lhe §R$INFAMY$§! de infâmia;;Dies wird §R$PRESTIGE$§! Prestige kosten und Euch §R$INFAMY$§! Infamie einbringen;;;;;;;;x;;;;
REMOVEFROMSPHERE_DESC;Remova a nação de uma §YGreat Power§W's da Esfera de Influência.;;Entfernt die Nation aus dem Einflussbereich einer §YGroßmacht§W.;;;;;;;;x;;;;
CRISIS_INTEREST;Interesse: §Y$VAL$§!;;Ihre Zinsen: §Y$VAL$§!;;;;;;;;x;;;;
CRISIS_MAKE_OFFER_INVALID;Você deve oferecer-lhes alguma coisa!;;Ihr müsst ihnen etwas anbieten!;;;;;;;;x;;;;
CRISIS_MAKE_OFFER_NOT_LEADER;Você deve ser um líder na crise para fazer ofertas.;;Ihr müsst der Anführer in diesem Konflikt sein, um Angebote machen zu können.;;;;;;;;x;;;;
CRISIS_MAKE_OFFER;Faça uma oferta para §Y$COUNTRY$§! para atraí-los para o seu lado.;;Macht §Y$COUNTRY$§! ein Angebot, um sie zu ködern, Euch Rückhalt zu geben. ;;;;;;;;x;;;;
CRISIS_AI_WANTS_TO_BACK_1;não decidiu quem apoiar.;;hat noch nicht entschieden, welche Seite sie unterstützen.;;;;;;;;x;;;;
CRISIS_AI_WANTS_TO_BACK_2;está inclinado a apoiar;;neigt zur Unterstützung von;;;;;;;;x;;;;
CRISIS_AI_WANTS_TO_BACK_3;está fortemente inclinado a apoiar;;neigt stark zur Unterstützung von;;;;;;;;x;;;;
CRISIS_AI_INTEREST;Seu interesse em apoiar;;Ihr Interesse zur Unterstützung von;;;;;;;;x;;;;
unification_release_puppet_cb_setup;Libere $THIRD$ de $RECIPIENT$ e adicione-os à sua esfera de influência;;Befreit $THIRD$ von $RECIPIENT$ und fügt sie Eurem Einflussbereich hinzu;;;;;;;;x;;;;
unification_release_puppet_cb_desc;Libertar nossos parentes culturais do controle de estrangeiros e adicioná-los à sua esfera de influência;;Befreit unsere kulturelle Sippschaft aus der Kontrolle der Fremden und fügt sie Eurem Einflussbereich hinzu;;;;;;;;x;;;;
unification_release_puppet_cb;Parentes Culturais Livres;;Befreit kulturelle Sippschaft;;;;;;;;x;;;;
unification_release_puppet_cb_short;$THIRD$ foi libertado;;$THIRD$ wurde befreit;;;;;;;;x;;;;
AIREASON_STRATEGIC_INTERESTS;Interesses Estratégicos;;Strategische Interessen;;;;;;;;x;;;;
AIREASON_BACKED_BY_ALLY;Apoiado pelos Aliados;;Durch Bündnispartner unterstützt;;;;;;;;x;;;;
AIREASON_ALLY;Aliado;;Bündnispartner;;;;;;;;x;;;;
AIREASON_TOO_EARLY_IN_CRISIS;Início da crise;;Zu früh im Konflikt;;;;;;;;x;;;;
AIREASON_CRISIS_OFFER;$WARGOAL$:;;$WARGOAL$:;;;;;;;;x;;;;
AIREASON_ATTACKING_ALLY;Atacando Aliado;;Greift Bündnispartner an;;;;;;;;x;;;;
AIREASON_ATTACKING_FRIENDS;Atacando Amigos;;Greift Freunde an;;;;;;;;x;;;;
AIREASON_ATTACKING_ENEMIES;Atacando Inimigos;;Greift Feinde an;;;;;;;;x;;;;
AIREASON_COMMON_FOE;Inimigo Comum;;Gemeinsamer Feind;;;;;;;;x;;;;
AIREASON_WAR_WITH_SPHERE_LEADER;Guerra com o Líder da Esfera;;Krieg mit dem Einflusssphären-Anführer;;;;;;;;x;;;;
AIREASON_CONSTRUCTING_CB;Interesses Estratégicos;;Strategische Interessen;;;;;;;;x;;;;
AIREASON_HELD_CORES;Owns Core Provinces;;Besitzt Kernprovinzen;;;;;;;;x;;;;
AIREASON_NEGATIVE_RELATIONS;Relações Negativas;;Negative Beziehungen;;;;;;;;x;;;;
AIREASON_THREATS;Ameaças;;Drohungen;;;;;;;;x;;;;
AIREASON_TOO_MANY_GP_ALLIES;Muitos aliados de Grande Potência;;Zu viele Großmacht-Bündnispartner;;;;;;;;x;;;;
AIREASON_DESIRES_GP_ALLY;Wants a Great Power ally;;Möchte ein Großmacht-Bündnispartner;;;;;;;;x;;;;
AIREASON_ALLY_OF_ALLY;Aliado de Aliado;;Bündnispartner von Bündnispartner;;;;;;;;x;;;;
AIREASON_TOO_MANY_ALLIANCES;Muitas Alianças;;Zu viele Bündnisse;;;;;;;;x;;;;
AIREASON_RELATIVE_ARMY_STRENGTH;Força do Exército;;Truppen-Stärke;;;;;;;;x;;;;
AIREASON_RELATIVE_NAVY_STRENGTH;Força da Marinha;;Flotten-Stärke;;;;;;;;x;;;;
AIREASON_CURRENT_WARS;Guerras Atuais;;Aktuelle Kriege;;;;;;;;x;;;;
AIREASON_OUR_CASUS_BELLI;Nosso Casus Belli;;Unser Kriegsgrund;;;;;;;;x;;;;
AIREASON_YOUR_CASUS_BELLI;Seu Casus Belli;;Euer Kriegsgrund;;;;;;;;x;;;;
AIREASON_CIV_VS_UNCIV;Civilizado vs Não Civilizado;;Ziviliziert gegen Unzivilisiert;;;;;;;;x;;;;
AIREASON_DIPLOMATIC_GOALS;Considerações Políticas;;Politische Überlegungen;;;;;;;;x;;;;
AIREASON_DISTANCE;Distância;;Distanz;;;;;;;;x;;;;
AIREASON_DIFFERENT_GOVTYPES;Tipo de Governo;;Regierungsart;;;;;;;;x;;;;
AIREASON_OUR_SPHERE;Nossa Esfera;;Unsere Einflusssphäre;;;;;;;;x;;;;
AIREASON_OTHER_SPHERE_LEADER;Other Sphere Leader;;Andere Einflusssphären-Anführer;;;;;;;;x;;;;
AIREASON_OTHER_SPHERE;Outra Esfera;;Andere Einflusssphäre;;;;;;;;x;;;;
AIREASON_OVERLORD;Suserano;;Herrscher;;;;;;;;x;;;;
AIREASON_BADBOY;Infâmia;;Infamie;;;;;;;;x;;;;
AIREASON_RELATIONS;Relações;;Beziehungen;;;;;;;;x;;;;
AIREASON_GP_RELATIONS;Opinião;;Meinung;;;;;;;;x;;;;
AIREASON_BASE_RELUCTANCE;Relutância Base;;Basis-Zurückhaltung;;;;;;;;x;;;;
AI_DIPLOMATIC_VALUE;Valor Diplomático;;Diplomatischer Wert;;;;;;;;x;;;;
AI_DIPLO_NO;Eles não vão aceitar;;Sie werden nicht akzeptieren;;;;;;;;x;;;;
AI_DIPLO_YES;Eles vão aceitar;;Sie werden akzeptieren;;;;;;;;x;;;;
SHIP_BUILD_MIN_BASE_LEVEL_WARNING;§RNão pode construir Porto. Requer nível §Y$LVL$§R ou melhor.§!;;§RKann in diesem Marinehafen nicht gebaut werden. Erfordert Stufe §Y$LVL$§R oder besser.§!;;;;;;;;x;;;;
NAVAL_BASE_OVERSEAS_LIMIT;§ROs navios da capital não podem ser construídos em províncias ultramarinas.§!;;§RGroßkampfschiffe können nicht in Übersee-Provinzen gebaut werden.§!;;;;;;;;x;;;;
NAVAL_COMBAT_DAMAGE_DESC_TITLE;A poder de fogo estimado é §G$POWER$§!:;;Die geschätzte Feuerkraft beträgt §G$POWER$§!:;;;;;;;;x;;;;
NAVAL_COMBAT_DAMAGE_DESC_BASE;§Y$UNIT$§! base attack: §G$VAL$§!;;§Y$UNIT$§! Grundangriff: §G$VAL$§!;;;;;;;;x;;;;
NAVAL_COMBAT_DAMAGE_DESC_TORP;Ataque de Torpedo: §G$VAL$§!;;Torpedo-Angriff: §G$VAL$§!;;;;;;;;x;;;;
NAVAL_COMBAT_DAMAGE_DESC_LUCK;Sorte e Decisões: §Y$VAL$%§!;;Glück und Entscheidungen: §Y$VAL$%§!;;;;;;;;x;;;;
