GIVE_UNIT_COMMAND_BUTTON;Comando de Unidades  ;;Kontrolliere Einheiten;;;;;;;;x;;;
GIVE_UNIT_COMMANDTITLE;Comando de Unidades  ;;Kontrolliere Einheiten;;;;;;;;x;;;
GIVE_UNIT_COMMAND_DESC;Enquanto lutam juntos uma guerra, é possível assumir o controle das unidades de seus fantoches.;;Während sie gemeinsam einen Krieg bestreiten, darf der Herrscher die Kontrolle über die Einheiten seiner Marionetten übernehmen.;;;;;;;;x;;;
GIVE_UNIT_COMMAND_OK;Peça ao seu fantoche para retomar o comando sobre suas próprias unidades.;;Frage deine Marionette, ob sie die Kontrolle über ihre Einheiten zurückerlangen will.;;;;;;;;x;;;
GIVE_UNIT_COMMAND_CANT_CONTROL;Você pode comandar unidades de §Yfantoches§! somente quando você estiver lutando em uma guerra juntos.;;Sie können die Einheiten Ihrer §YMarionetten§! nur dann kontrollieren, wenn Sie gemeinsam einen Krieg bestreiten.;;;;;;;;x;;;
GIVE_UNIT_COMMAND_ALREADY_CONTROL;Você já está no comando de suas unidades.;;Sie kontrollieren schon ihre Einheiten.;;;;;;;;x;;;
CANCEL_UNIT_COMMAND_BUTTON;Devolver unidades;;Einheiten zurückgeben;;;;;;;;x;;;
CANCEL_UNIT_COMMANDTITLE;Devolver unidades;;Einheiten zurückgeben;;;;;;;;x;;;
CANCEL_UNIT_COMMAND_DESC;Devolver unidades;;Einheiten zurückgeben;;;;;;;;x;;;
CANCEL_UNIT_COMMAND_OK;Devolva suas unidades.;;Geben Sie ihnen ihre Einheiten zurück.;;;;;;;;x;;;
CANCEL_UNIT_COMMAND_NOT_IN_CONTROL;Você não está no comando desta unidade.;;Sie kontrollieren diese Einheit nicht.;;;;;;;;x;;;
cut_down_to_size_boxer_setup;Force a China a pagar pelos crimes dos Boxer.;;Zwinge China, für die Verbrechen der Boxer-Rebellen zu büßen.;;;;;;;;x;;;
cut_down_to_size_boxer_short;Force a China a pagar pelos crimes dos Boxer.;;Zwinge China, für die Verbrechen der Boxer zu büßen.;;;;;;;;x;;;
LACK_OF_MAINTENANCE_GOODS;Bens de manutenção insuficientes;;Ungenügend Wartungsgüter;;;;;;;;x;;;
AIREASON_TOO_MANY_CRISIS_WARGOALS;Adicionado Objetivos de guerra;;Hinzugefügte Kriegsziele;;;;;;;;x;;;
AIREASON_NOT_OVERLORD;Não meu Suserano;;Nicht mein Herrscher;;;;;;;;x;;;
EVTNAME36230;A compra dos ursos polares;;Der Polarbär Kauf;;;;;;;;x;;;
EVTDESC36230;Jan Mayen está se oferecendo para comprar todos os nossos ursos polares a um bom preço. Eles prometem que vão tratá-los com o cuidado e a dignidade concedidos a essas criaturas majestosas.;;Jan Mayen möchte alle unsere Polarbären kaufen. Sie versprechen diese mit Fürsorge zu versorgen und mit ausreichend Ehre zu behandeln.;;;;;;;;x;;;
EVTOPTA36230;Está bem!;;Okay!;;;;;;;;x;;;
EVTOPTB36230;Nunca!;;Niemals!;;;;;;;;x;;;
EVTNAME36231;Compra dos ursos polares - Dinamarca aceita;;Der Polarbär Kauf - Denmark hat akzeptiert;;;;;;;;x;;;
EVTDESC36231;A Dinamarca concordou em nos vender todos os seus ursos polares.;;Denmark hat zugestimmt uns all ihre Polarbären zu verkaufen.;;;;;;;;x;;;
EVTOPTA36231;Ótimo!;;Großartig!;;;;;;;;x;;;
EVTNAME36232;Compra dos ursos polares - Dinamarca recusa;;Der Polarbär Kauf - Denmark hat abgelehnt;;;;;;;;x;;;
EVTDESC36232;A Dinamarca recusou nos vender seus ursos polares.;;Denmark hat sich geweigert uns ihre Polarbären zu verkaufen.;;;;;;;;x;;;
EVTOPTA36232;Ah não!;;Oh nein!;;;;;;;;x;;;
the_greenland_purchase_title;A compra dos ursos polares;;Der Polarbär Kauf;;;;;;;x;;;;
the_greenland_purchase_desc;Há muito tem sido um fato preocupante para o grande povo de Jan Mayen que todos os ursos polares do mundo não estão unificados sob uma única bandeira. Devemos nos aproximar da Dinamarca e ver se eles estão dispostos a se separar deles.;;Es ist ein beschwerlicher Fakt für die Bewohner von Jan Mayen, das die Polarbären der Welt nciht unter einer Flagge vereint sind.;;;;;;;;x;;;
bears;Ursos;;Bären;;;;;;;;x;;;
polar_bears;Ursos Polares;;Polarbären;;;;;;;;x;;;
INFLUENCE_SPHERE_NEIGHBOUR;Membro da esfera vizinha;;Benachbarter Spherenmitglied;;;;;;;;x;;;
col_liferate_techs;Pesquisando o seguinte ajudará a lidar com a estimativa de vida local:;;Folgende Forschungen zu erfoschen wird mit den lokalen Lebensbeschaffenheiten helfen:;;;;;;;;x;;;
unite_moldavia_wallachia_title;União da Moldávia e Valáquia!;;Union von Moldavien und Wallachai;;;;;;;;x;;;
unite_moldavia_wallachia_desc;As nações da Moldávia e da Valáquia se uniram para formar a Romênia!;;Die Nationen Moldavia und Wallachai sind zusammengekommen um Romania zu gründen!;;;;;;;;x;;;
SOIS_HAS_REBELS_WARNING;Rebeldes se levantaram contra os membros da Esfera: §Y$LIST$§!;;Rebellen haben bei Spherenmitgliedern rebelliert: §Y$LIST$§!;;;;;;;;x;;;
ALLIANCE_INVALID_GPS_IN_CRISIS;A aliança entre §Ytwo Great Powers§! não pode ser formado quando §Ycrisis§! estiver ativo.;;Eine Allianz zwischen §Yzwei Großmächten§! kann nicht geformt werden während die §YKrise§! aktiv ist.;;;;;;;;x;;;
BP_TOOL_ARROW_MEDIUM_1_DASHED;Medium Dashed Arrow 1;;Mittlerer gestrichelter Pfeil 1;;;;;;;;x;;;
BP_TOOL_ARROW_MEDIUM_2_DASHED;Medium Dashed Arrow 2;;Mittlerer gestrichelter Pfeil 2;;;;;;;;x;;;
BP_TOOL_ARROW_MEDIUM_3_DASHED;Medium Dashed Arrow 3;;Mittlerer gestrichelter Pfeil 3;;;;;;;x;;;;
