MIL_FROM_TROOPS;Soldados e Exército;Soldats et Armée;Soldaten & Armee;;;;;;;;x;;;
MIL_FROM_CAP_SHIPS;Capital Ships;Navires;Großkampfschiff;;;;;;;;x;;;
MIL_FROM_LEADERS;Líderes;Dirigeants;Anführer;;;;;;;;x;;;
OCCUPATION_SCORE;Ocupação:;Occupation : ;Besetzung:;;;;;;;;x;;;
BLOCKADE_SCORE;Bloqueio:;Blocus : ;Blockade:;;;;;;;;x;;;
OUTLINER_TOOLTIP_EMPLOYED;§Y$COUNT$§! Empregados em fábricas (§Y$PERC$§!%);§Y$COUNT$§ Employés en usines (§Y$PERC$§! %);§Y$COUNT$§! in (§Y$PERC$§!%) Fabriken eingestellt;;;;;;;;x;;;
TRADE_SUPPLY_NEED_A;$VAL$ para abastecer o exército a cada dia.\n;$VAL$ à fournir à l'armée chaque jour.\n;$VAL$ zur täglichen Versorgung der Armee.\n;;;;;;;;x;;;
TRADE_SUPPLY_NEED_N;$VAL$ para fornecer marinha a dia.\n;$VAL$ à fournir à la marine chaque jour.\n;$VAL$ zur täglichen Versorgung der Marine.\n;;;;;;;;x;;;
DIPLOMACY_CANNOT_SET_PRIO_WAR;Não podemos influenciar esta nação enquanto estamos em guerra com eles.;Nous ne pouvons pas influencer cette nation tant que nous sommes en guerre contre elle.;Wir können diese Nation nicht beeinflussen, während wir einen Krieg gegen sie führen.;;;;;;;;x;;;
DIPLOMACY_INFLUENCE_NOT_WORTH;Já estamos influenciando este país ao máximo e nenhum outro país o está influenciando. Nenhum ponto foi gasto no momento.;Nous influençons déjà ce pays au maximum et aucun autre pays ne l'influence. Aucun point n'est dépensé pour le moment.;Wir haben den Einfluss auf dieses Land bereits maximiert und kein anderes Land beeinflusst es. Es wurden keine Punkte ausgegeben.;;;;;;;;x;;;
COLONY_ABORT_HEADER;Quando nossa colonização foi abortada.;Lorsque notre colonisation à été abandonnée;Sobald unsere Kolonisierung abgebrochen wurde.;;;;;;;;x;;;
COLONY_ABORT_1;Colonização Abandonada!;Abandon de la colonisation !;Kolonisierung Abgebrochen!;;;;;;;;x;;;
COLONY_ABORT_2;$MONARCHTITLE$, nossa colônia em;$MONARCHTITLE$, notre colonie en;$MONARCHTITLE$, unsere Kolonie in;;;;;;;;x;;;
COLONY_ABORT_3;§Y$TARGET$§b.;§Y$TARGET$§b.;§Y$TARGET$§b.;;;;;;;;x;;;
COLONY_ABORT_4;foi abandonada!;a été abandonnée !;wurde vorzeitig abgebrochen!;;;;;;;;x;;;
COLONY_ABORT_5;Nós não podemos mais colonizar esta região.;Nous ne pouvons plus coloniser cette région.;Wir können diese Region nicht länger kolonisieren.;;;;;;;;x;;;
COLONY_ABORT_6;*;*;*;*;*;*;*;;;;;;;x
COLONY_ABORT_BTN1;OK;D'accord;OK;*;Aceptar;*;*;;;;;;;x
COLONY_ABORT_BTN2;OK;D'accord;OK;;Aceptar;;;;;;;;;x
COLONY_ABORT_BTN3;Ir para;Voir;Gehe zu;;Ir allí;;;;;;;;;x
COLONY_ABORT_MAP;Colônia Abandonada!;Colonie abandonnée !;Kolonie abgebrochen!;;;;;;;;x;;;
COLONY_ABORT_SETUP;Quando a colonização é abandonada.;Quand la colonisation est abandonnée.;Wenn die Kolonisierung abgebrochen wird.;;;;;;;;x;;;
COLONY_ABORT_LOG;Colonização de $TARGET$foi abandonada.;la colonisation de $TARGET$ a été abandonnée.;Kolonisierung von $TARGET$ wurde abgebrochen.;;;;;;;;x;;;
DIPRELCH_VALID_CB;Casus Belli válido;Casus Belli valide;Gültiger Kriegsgrund;;;;;;;;x;;;
BRIGADES_COMPARE_GREATER;O fator de comparação das brigadas de dois países é pelo menos §Y$VAL$§!;Le facteur de comparaison des brigades des deux pays est d'au moins §Y$VAL$§ !;Der Vergleichswert der Brigaden zweier Länder beträgt mindestens §Y$VAL$§!;;;;;;;;x;;;
BRIGADES_COMPARE_SMALLER;O fator de comparação das brigadas de dois países é menor que §Y$VAL$§!;Le facteur de comparaison des brigades des deux pays est inférieur à §Y$VAL$§ !;Der Vergleichswert der Brigaden zweier Länder beträgt weniger als §Y$VAL$§!;;;;;;;;x;;;
CONFIRM_CREATE_STATE_DESC2;(Todos os efeitos locais serão removidos.);(Tous les effets locaux seront supprimés.);(Alle lokalen Effekte werden entfernt.);;;;;;;;x;;;
UNIT_ENABLE_REBEL_HUNT;Caça Rebeldes;Chasse aux rebelles;Jagt Rebellen;Cazar rebeldes;;;;;;;;;;x
UNIT_DISABLE_REBEL_HUNT;(caçando rebeldes);(chasse des rebelles);(Rebellen jagen);(cazando rebeldes);;;;;;;;;;x
UNIT_REBEL_HUNT_WILL_HUNT;§GO exército está pronto para a caça rebelde.§!;§GL'armée est prête pour la chasse aux rebelles.§!;§GDie Armee ist bereit, Rebellen zu jagen.§!;;;;;;;;;;;x
UNIT_REBEL_HUNT_IS_BUSY;§RExército está atualmente ocupado, e não vai caçar nenhum rebelde agora.§!;§RL'armée est occupée et ne pourra pas chasser les rebelles tout de suite.§!;§RDie Armee ist derzeit beschäftigt und wird momentan keine Rebellen jagen.§!;;;;;;;;;;;x
