KEYNAME;TEXT;;TEXT;;;;;;;;;;;x
news1;O governo de $TAG_2_0$ ofereceu a paz com os seguintes termos: $STRING_0_1$;;Die Regierung von $TAG_2_0$ bot unter folgenden Bedingungen Frieden an: $STRING_0_1$;;;;;;;;;;;x
battle_we_win_title_large;GLORIOSA VITÓRIA EM $STRING_0_3$!;;GLORREICHER SIEG IN $STRING_0_3$!;;;;;;;;;;;x
battle_we_win_large;On $DATE_LONG_0$ our unrivalled army was, once again, victorious in the battle of $STRING_0_3$! $VALUE_INT_0_1$ of our men bravely gave $VALUE_INT_0_3$ $TAG_0_3_ADJ$ troops a sound seeing to, and while $VALUE_INT_0_2$ of our fearless troops lost their lives, over $VALUE_INT_0_4$ $TAG_0_3_ADJ$ scoundrels were killed and the field was left in our hands. After a defeat like this, $TAG_0_3$ surely must soon seek peace terms!;;Am $DATE_LONG_0$ war unsere ungeschlagene Armee in der Schlacht von $STRING_0_3$ erneut siegreich! $VALUE_INT_0_1$ unserer tapferen Männer gaben $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen Saures und auch wenn $VALUE_INT_0_2$ unserer tapferen Mannen ihr Leben ließen, wurden mehr als $VALUE_INT_0_4$ $TAG_0_3_ADJ$ Schurken getötet. Nach einer solchen Niederlage, wird $TAG_0_3$ sicherlich um Frieden ersuchen!;;;;;;;;;;;x
battle_we_win_title_medium;Vitória em $STRING_0_3$!;;Sieg in $STRING_0_3$!;;;;;;;;;;;x
battle_we_win_medium;Em $DATE_LONG_0$ nós derrotamos $VALUE_INT_0_3$ tropas $TAG_0_3_ADJ$ em $STRING_0_3$, à custa de $VALUE_INT_0_2$ vidas perdidas.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$, zum Preis von $VALUE_INT_0_2$ Leben.;;;;;;;;;;;x
battle_we_win_title_small;Vitória!;;Sieg!;;;;;;;;;;;x
battle_we_win_small;Em $DATE_LONG_0$ nós derrotamos $VALUE_INT_0_3$ tropas $TAG_0_3_ADJ$ em $STRING_0_3$.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$.;;;;;;;;;;;x
battle_we_lose_title_large;A FALHA MILITAR CONDUZ O DESASTRE EM $STRING_0_3$!;;MILITÄRISCHER PATZER FÜHRT ZU DESASTER IN $STRING_0_3$!;;;;;;;;;;;x
battle_we_lose_large;Em $DATE_LONG_0$ nosso alto comando incompetente chocantemente enviou $VALUE_INT_0_4$ dos nossos bravos soldados para a morte em $STRING_0_3$ contra as forças de  $TAG_0_2$. Our $VALUE_INT_0_3$ fine troops faced $VALUE_INT1$ $TAG_0_2_ADJ$ soldiers, and despite poor leadership and the enemy's underhanded tactics managed to inflict $VALUE_INT_0_2$ casualties upon them. Este artigo expressa graves preocupações sobre a direção que o alto comando está tomando nesta guerra, e instou fortemente o governo a tomar medidas para corrigi-lo antes que seja tarde demais!;;Am $DATE_LONG_0$ sendete unser unfähiges Oberkommando schockierenderweise $VALUE_INT_0_4$ unserer tapferen Soldaten in $STRING_0_3$ gegen die Truppen von $TAG_0_2$ in den Tod. $VALUE_INT_0_3$ feine Soldaten stellten sich $VALUE_INT1$ $TAG_0_2_ADJ$ Mann und konnten trotz schlechter Führung und der Hinterlist des Gegners $VALUE_INT_0_2$ Opfer mit sich nehmen. Wir bringen unsere große Sorge über die Richtung des Oberkommandos in diesem Krieg zum Ausdruck und fordern die Regierung dazu auf, das Ruder herumzureißen, bevor es zu spät ist!;;;;;;;;;;;x
battle_we_lose_title_medium;Defeat in $STRING_0_3$;;Niederlage in $STRING_0_3$;;;;;;;;;;;x
battle_we_lose_medium;On $DATE_LONG_0$ we lost the battle of $STRING_0_3$, losing $VALUE_INT_0_4$ men and leaving $TAG_0_2$ in control of the field.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ Männer und die Kontrolle des Feldes an $TAG_0_2$.;;;;;;;;;;;x
battle_we_lose_title_small;Desastre em $STRING_0_3$;;Desaster in $STRING_0_3$;;;;;;;;;;;x
battle_we_lose_small;Em $DATE_LONG_0$ nós perdemos a batalha de $STRING_0_3$, perdendo $VALUE_INT_0_4$ homens e saindo de $TAG_0_2$ sem o controle do campo.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ Männer und die Kontrolle des Feldes an $TAG_0_2$.;;;;;;;;;;;x
gwar_we_win_large_title;$TAG_3_0_UPPER$ DESISTE!;;$TAG_3_0_UPPER$ GIBT AUF!;;;;;;;;;;;x
gwar_we_win_large_desc;On $DATE_LONG_1$ the Great War between $TAG_0_0$ and $TAG_1_0$ ended in our glorious victory. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end the result was $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der Große Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. Der Krieg, bekannt als $STRING_0_0$, wütete von $DATE_SHORT_0$ über $STRING_9_0$, an dessen Ende das Ergebis feststand: $STRINGS_LIST_4$.;;;;;;;;;;;x
gwar_we_win_medium_title;ARMISTÍCIO ASSINADO!\n VITÓRIA!;;WAFFENRUHE UNTERZEICHNET!\n SIEG!;;;;;;;;;;;x
gwar_we_win_medium_desc;Em $DATE_LONG_1$, a Grande Guerra entre $TAG_0_0$ e $TAG_1_0$ terminou com a nossa gloriosa vitória. A guerra, conhecida como $STRING_0_0$, durou de $DATE_SHORT_0$ até $STRING_9_0$.;;Am $DATE_LONG_1$ endete der Große Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. Der Krieg, bekannt als $STRING_0_0$, wütete von $DATE_SHORT_0$ über $STRING_9_0$.;;;;;;;;;;;x
gwar_we_win_small_title;Vitória sobre $TAG_3_0$!;;Sieg über $TAG_3_0$!;;;;;;;;;;;x
