AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$ TEME NOSSO PODER!;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;;;;;;;x;;;
AI_FEARS_US_DESC1_LONG;Relatos de rumores vêm do nosso correspondente em $TAG_0_0$. Uma fonte anônima confirma que houve várias reuniões com altos oficiais militares em sua capital nos últimos meses. O tema principal desses encontros foi um cenário fictício da declaração de guerra e uma invasão por parte de nossos militares. Possíveis contra-ataques e até lutas de guerrilha foram discutidos. Aparentemente, o alto comando do exército $TAG_0_0_ADJ$ está se preparando para o pior. Parece que somos temidos por eles!;;Gerüchte erreichen unseren Korrespondenten in $TAG_0_0$. Eine anonyme Quelle bestätigt, dass in den letzten Monaten mehrere Treffen mit hochrangigen Militäroffizieren in ihrer Hauptstadt stattfanden. Das Hauptthema dieser Treffen drehte sich um ein fiktionales Szenario der Kriegserklärung und einer Invasion durch unser Militär. Es wurden mögliche Gegenangriffe und sogar Guerillakämpfe diskutiert. Scheinbar bereitet sich die $TAG_0_0_ADJ$e Armee auf das Schlimmste vor. Sie scheinen Angst vor uns zu haben!;;;;;;;;x;;;
AI_FEARS_US_DESC1_MEDIUM;Uma fonte não identificada em $TAG_0_0$ relata que o governo está se preparando para o pior. Um cenário fictício envolvendo uma declaração de guerra do nosso país contra eles é considerado possível, e altos oficiais militares consideram nosso poder militar assustador!;;Eine anonyme Quelle in $TAG_0_0$ meldet, dass sich die dortige Regierung auf das Schlimmste vorbereitet. Ein fiktionales Szenario einer Kriegserklärung durch unser Land wird für möglich gehalten, und ihre hochrangigen Militäroffiziere fürchten unsere militärische Stärke!;;;;;;;;x;;;
AI_FEARS_US_DESC1_SHORT;Os relatórios estão chegando de uma fonte não identificada em $TAG_0_0$ de uma série de reuniões militares em sua capital. Parece que eles consideram uma invasão de nossas tropas uma possibilidade séria!;;Eine anonyme Quelle in $TAG_0_0$ berichtet von einer Reihe von militärischen Treffen in ihrer Hauptstadt. Wie es scheint, halten sie eine Invasion durch unsere Truppen durchaus für möglich!;;;;;;;;x;;;
AI_FEARS_US_TITLE2;$TAG_0_0$, estamos chegando!;;$TAG_0_0$ fürchtet unseren Einmarsch!;;;;;;;;x;;;
AI_FEARS_US_DESC2_LONG;Um artigo recente em um jornal $TAG_0_0_ADJ$ surpreendeu sua nação! Uma análise detalhada das relações geladas entre nossos países e uma comparação de nossas forças militares levaram o editor a concluir que nossos países poderiam em breve estar em guerra. Se esse dia chegar, a existência do(a) $TAG_0_0$'s seria ameaçada. Todos os cidadãos do(a) $TAG_0_0$ tanto nobres quanto pebleus, estão pedindo ao seu governo que forme uma aliança com uma Grande Potência para conter a ameaça que enfrentam.;;Ein kürzlicher Beitrag in der $TAG_0_0_ADJ$en Zeitung brachte ihre Nation in Aufruhr! Eine ausführliche Analyse der frostigen Beziehungen zwischen unseren Ländern mit einem Vergleich unserer militärischen Stärken brachte den Herausgeber zu dem Schluss, dass unsere Länder sich bald im Kriegszustand befinden könnten. Sollte dieser Tag kommen, wäre die Existenz $TAG_0_0$s angeblich gefährdet. Alle Bürger von $TAG_0_0$, Adel wie auch Bürgerliche, fordern ihre Regierung auf, ein Bündnis mit einer Großmacht einzugehen, um die Bedrohung, die wir darstellen, einzudämmen.;;;;;;;;x;;;
AI_FEARS_US_DESC2_MEDIUM;Um artigo recente em um jornal $TAG_0_0_ADJ$ surpreendeu sua nação! Uma análise detalhada das relações frias entre os nossos países levou o editor à conclusão de que, na falta de novas garantias, os nossos países poderão em breve encontrar-se num estado de guerra.;;Ein kürzlicher Beitrag in der $TAG_0_0_ADJ$en Zeitung brachte ihre Nation in Aufruhr! Eine ausführliche Analyse der frostigen Beziehungen zwischen unseren Ländern brachte den Herausgeber zu dem Schluss, dass unsere Länder sich bald im Kriegszustand befinden könnten.;;;;;;;;x;;;
AI_FEARS_US_DESC2_SHORT;Um artigo recente em um jornal $TAG_0_0_ADJ$ surpreendeu sua nação! A análise das relações frias entre nossos países levou o editor à conclusão de que a guerra poderia ser inevitável.;;Ein Beitrag in der $TAG_0_0_ADJ$en Zeitung brachte die Nation ihre Aufruhr! Die Analyse frostiger Beziehungen zw. unseren Ländern brachte sie zu dem Schluss, dass ein Krieg unausweichlich sei.;;;;;;;;x;;;
AI_FEARS_US_TITLE3;Insultos $TAG_0_0_ADJ$!;;$TAG_0_0_ADJ$e Beleidigungen!;;;;;;;;x;;;
AI_FEARS_US_DESC3_LONG;Preconceito e ódio reinam em $TAG_0_0$. O crescente coro de insultos alcançou novos mínimos na segunda-feira, quando o ministro das Relações Exteriores da $TAG_0_0_ADJ$ deu um tapa no nosso embaixador no gramado de nossa embaixada em $TAG_0_0$. Quando perguntado sobre o assunto, nosso ministro das Relações Exteriores disse que isso era 'mais uma prova, como se fosse necessário, de que não se pode confiar que eles se comportarão de maneira civilizada. Selvagens gorvernam em $TAG_0_0$, e quanto mais cedo esses desgraçados estiverem erradicados, melhor'. Canais diplomáticos permanecem abertos por enquanto, mas a guerra pode ser inevitável.;;Vorurteile und Hass herrschen in $TAG_0_0$. Die Beleidigungen fanden am Montag einen neuen Tiefpunkt, als der $TAG_0_0_ADJ$e Außenminister unseren Botschafter auf dem Rasen unserer Botschaft in $TAG_0_0$ ohrfeigte. Auf Anfrage sagte unser Außenminister, dass dies 'weitere Beweise sind, falls wir noch welche brauchten, dass man von ihnen kein zivilisiertes Verhalten erwarten kann. Wilde und Proleten herrschen in $TAG_0_0$ und je eher wir sie ausmerzen, desto besser.' Diplomatische Kontakte werden weiterhin aufrechterhalten, doch Krieg scheint unvermeidbar.;;;;;;;;x;;;
AI_FEARS_US_DESC3_MEDIUM;"Preconceito e ódio reinam em $TAG_0_0$. Na segunda-feira, o ministro das Relações Exteriores do(a) $TAG_0_0_ADJ$ deu um tapa em nosso embaixador. Nosso ministro das Relações Exteriores disse que ""selvagens e burros governam em $TAG_0_0$, e quanto mais cedo esses infelizes forem extirpados, melhor"".";;Vorurteile und Hass herrschen in $TAG_0_0$ vor. Am Montag gab der $TAG_0_0_ADJ$e Außenminister unserem Botschafter eine Ohrfeige. Unser Außenminister sagt, dass 'Wilde und Proleten in $TAG_0_0$ regieren, je eher wir sie ausmerzen, desto besser.';;;;;;;;x;;;
