EVTNAME5002;Copa Stanley;Coupe Stanley;Stanley Cup;;Copa Stanley;;;;;;;;;x;
EVTDESC5002;Tudo começou em 18 de março de 1892, em um jantar da Associação Atlética Amadora de Ottawa. Lord Kilcoursie, um jogador do Ottawa Rebels, um clube de hóquei, entregava a seguinte mensagem em nome de Lord Stanley, Governador-geral do Canadá: Eu tenho pensado que seria uma coisa boa se houvesse um torneio (Challenger) que fosse disputado todo ano e que fosse dado à equipe de hóquei campeã no Território (do Canadá) um troféu. Como não parece ter um sinal externo de um torneio no presente, e considerando o interesse geral, e a importância de ter o esporte praticado aqui e sob as regras reconhecidas geralmente, eu estou disposto dar uma Taça, que seja entregue ano a ano para a equipe vencedora.;Lord Stanley de Preston était très intrigué par le hockey lorsqu'il devint gouverneur général du Dominion. Appelée à l'origine Dominion Hockey Challenge Cup, la coupe lui fut offerte en 1892 en guise de récompense pour le meilleur club de hockey sur glace amateur du Canada. ;;;A Lord Stanley de Preston le fascinaba el hockey sobre hielo cuando fue nombrado gobernador general del protectorado. En un principio, respaldó la Copa Desafío de Hockey del Protectorado, cuyo trofeo donó en 1892, en recompensa por la gran posición que alcanzó el club de hockey sobre hielo amateur de Canadá. ;;;;;;;;;x;
EVTOPTA5002;Isso pode se tornar popular...;Elle allait devenir très populaire...;Das könnte ein beliebter Sport werden...;;Esto podría llegar a ser popular...;;;;;;;;;x;
EVTNAME5001;Copa do Mundo de Futebol;Coupe du monde de football;Fußball-Weltmeisterschaften;;Copa del Mundo de Fútbol;;;;;;;;;x;
EVTDESC5001;O Uruguai acaba de ser o país anfitrião da primeira Copa do Mundo de Futebol, que tem sido um grande sucesso. Embora não houvesse muitos países europeus que pudessem viajar para lá, um grande futebol foi jogado. E o mais importante de tudo, o Uruguai venceu a final ao derrotar a Argentina por 4-2!;L'Uruguay vient d'accueillir la première Coupe du monde de football qui a remporté un vif succès. Bien que peu de pays européens aient réussi à faire le voyage jusqu'ici, nous avons assisté à du grand football. Et plus important encore, l'Uruguay a remporté la finale contre l'Argentine par 4 buts contre 2 !;Uruguay hat gerade die ersten Fußballweltmeisterschaften ausgerichtet, die ein fantastischer Erfolg waren. Obwohl daran aufgrund der Entfernung nicht viele europäische Länder teilnehmen konnten, wurde doch großartiger Fußball gespielt. Und das Wichtigste war, dass Uruguay das Finale mit 4:2 gegen Argentinien gewonnen hat!;;Uruguay acaba de ser el país anfitrión de la primera Copa del Mundo de Fútbol, que ha sido un gran éxito. A pesar de que no fueron muchos los países europeos que pudieron viajar hasta allí, se jugó un gran fútbol. ¡Y lo más importante de todo es que Uruguay ganó la final imponiéndose a Argentina por 4-2!;;;;;;;;;x;
EVTOPTA5001;Glória ao Uruguai!;Gloire à l'Uruguay !;Uruguay lebe hoch!;;¡Gloria a Uruguay!;;;;;;;;;x;
EVTNAME5000;Primeira FA Cup disputada;Première Coupe d'Angleterre;Erster FA Cup ausgetragen;;Primera FA Cup disputada;;;;;;;;;x;
EVTDESC5000;Em um jogo muito emocionante, hoje a primeira Copa da Inglaterra foi realizada no Kensington Oval, em Londres. Com um resultado surpreendente, a $PROVINCENAME$ de Albion venceu por 1 a 0 no Queens Park. Os Spiders jogaram com grande esportividade durante a partida, mas no final perderam por um gol marcado por Alfred Goodwyn na segunda metade da partida.;Au cours d'une rencontre passionnante, la première Coupe d'Angleterre a eu lieu aujourd'hui au Kensington Oval de Londres. Et résultat surprenant, le $PROVINCENAME$ Albion l'a emporté avec 1 à 0 contre Queens Park. Tout au long du match, les Spiders ont montré une grande sportivité, mais ont finalement perdu lorsqu'Alfred Goodwyn a marqué un but en seconde mi-temps.;In einem spannenden und hart umkämpften Spiel wurde heute im Kensington Oval in London der erste FA Cup entschieden. Dabei konnte sich $PROVINCENAME$ überraschend mit 1:0 gegen Queens Park durchsetzen. Die Spiders spielten über den gesamten Spielverlauf sehr fair, verloren letztendlich aber durch ein Tor von Alfred Goodwyn in der zweiten Halbzeit.;;En un partido muy emocionante, hoy se libró la primera FA Cup en el Kensington Oval de Londres. Con un resultado sorprendente, el $PROVINCENAME$ de Albión se impuso por 1-0 al Queens Park. Los Spiders jugaron con mucha deportividad durante el partido, pero al final perdieron por un gol marcado por Alfred Goodwyn en la segunda mitad del encuentro.;;;;;;;;;x;
EVTOPTA5000;Os pobres podem se divertir!;Les pauvres apprécieront !;Sowas könnten den Armen gefallen!;;¡Los pobres podrían disfrutarlo!;;;;;;;;;x;
DEFINE_ADMIRAL_EFFECT;Obter serviços do §YAlmirante $NAME$§W ($PER$ $BAC$).\n;Obtenir les services de l'§Yamiral $NAME$§W ($PER$ $BAC$).\n;§YAdmiral $NAME$§W ($PER$ $BAC$) rekrutieren.\n;;Obtener los servicios del §Yalmirante $NAME$§W ($PER$ $BAC$).\n;;;;;;;;;x;
DEFINE_GENERAL_EFFECT;Obter serviços do §YGeneral $NAME$§W ($PER$ $BAC$).\n;Obtenir les services du §Ygénéral $NAME$§W ($PER$ $BAC$).\n;§YGeneral $NAME$§W ($PER$ $BAC$) rekrutieren.\n;;Obtener los servicios del §Ygeneral $NAME$§W ($PER$ $BAC$).\n;;;;;;;;;x;
DO_NOT_HAVE_TECH_TRI;NÃO inventou §Y$TECH$§W.\n;N'ont pas inventé §Y$TECH$§W\n;Noch NICHT erfunden: §Y$TECH$§W.\n;;NO ha inventado §Y$TECH$§W.\n;;;;;;;;;x;
HAVE_TECH_TRI;Inventou §Y$TECH$§W.\n;Ont inventé §Y$TECH$§W\n;Erfunden: §Y$TECH$§W.\n;;Ha inventado §Y$TECH$§W.\n;;;;;;;;;x;
NO_RAIL_YET;Não podemos incentivar a construção de ferrovias quando ainda não sabemos como construí-las.;Nous ne pouvons pas encourager la construction de chemins de fer si nous ne savons pas comment nous y prendre.;Wir können keinen Eisenbahnstreckenbau fördern, da wir noch nicht wissen, wie man sie baut.;;No podemos fomentar la construcción del ferrocarril cuando todavía no sabemos cómo construirlo.;;;;;;;;;x;
NOT_DISC_THESE_YET;Não podemos incentivar indústrias que ainda não foram inventadas.;Nous ne pouvons pas encourager les industries qui n'ont pas encore été inventées.;Wir können keine Industrien fördern, die noch nicht erfunden wurden.;;No podemos fomentar industrias que todavía no se han inventado.;;;;;;;;;x;
WAR_WE_ACCEPT_HEADER;O ministro das Relações Exteriores informa;Le ministre des Affaires étrangères indique :;Der Außenminister berichtet:;;El ministro de Asuntos Exteriores informa;;;;;;;;;x,,,,,,;
WAR_WE_ACCEPT_1;GUERRA!;DÉCLARATION DE GUERRE !;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x,,,,,,;
