LEDGER_COUNTRY_NAME;País;Pays;Land;;País;;;;;;;;;x;;;;
LEDGER_COUNTRY_MILSCORE;Pontuação Militar;Score militaire;Militär;;Puntuación militar;;;;;;;;;x;;;;
LEDGER_COUNTRY_INDSCORE;Pontuação Industrial;Score industriel;Industrie;;Puntuación industrial;;;;;;;;;x;;;;
LEDGER_COUNTRY_PRESTIGE;Prestígio;Prestige;Prestige;;Prestigio;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTALSCORE;Pontuação Total;Score total;Gesamtpunktzahl;;Puntuación total;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCES;Províncias;Provinces;Provinzen;;Provincias;;;;;;;;;x;;;;
LEDGER_PROVINCE_NAME;Província;Province;Provinz;;Provincia;;;;;;;;;x;;;;
LEDGER_PROVINCE_TOTALPOP;Pop. Total;Popul. tot.;Gesamtbevölk.;;Pob. total;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGMIL;Mil. Méd. ;Milit. moy.;Durchschn. Mil.;;Mil. media;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGCON;Con. Méd. ;Consc. moy.;Durchschn. Bew.;;Con. media;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGLIT;Lit. Méd. ;Alphab. moy.;Durchschn. Alph.;;Alf. media;;;;;;;;;x;;;;
LEDGER_PROVINCE_RELIGION;Religião;Religion;Religion;;Religión;;;;;;;;;x;;;;
LEDGER_PROVINCE_CULTURE;Cultura;Culture;Kultur;;Cultura;;;;;;;;;x;;;;
LEDGER_PROVINCE_ISSUE;Questão;Position politique;Thema;;Tema;;;;;;;;;x;;;;
LEDGER_PROVINCE_IDEOLOGY;Ideologia;Idéologie;Ideologie;;Ideología;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCE_POPS;População da província;Population de la province;Provinzbevölkerung;;Población de la provincia;;;;;;;;;x;;;;
LEDGER_HEADER_ARMY;Exércitos;Armées;Armeen;;Ejércitos;;;;;;;;;x;;;;
LEDGER_ARMY_NAME;Exército;Armée;Armee;;Ejército;;;;;;;;;x;;;;
LEDGER_ARMY_INFANTRY;Infantaria;Infanterie;Infanterie;;Infantería;;;;;;;;;x;;;;
LEDGER_ARMY_CAVALRY;Cavalaria;Cavalerie;Kavallerie;;Caballería;;;;;;;;;x;;;;
LEDGER_ARMY_ARTILLERY;Artilharia;Artillerie;Artillerie;;Artillería;;;;;;;;;x;;;;
LEDGER_HEADER_GOODS_PRICEHISTORY;Histórico de preços;Historique des prix;Preisverlauf;;Historial de precios;;;;;;;;;x;;;;
LEDGER_COUNTRY_STATUS;Status;Statut;Status;;Estatus;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYCOMPARE;Comparação Nacional;Comparaison nationale;Nationaler Vergleich;;Comparativa de naciones;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTAL_POP;Pop. Total;Popul. tot.;Gesamtbevölk.;;Pob. total;;;;;;;;;x;;;;
LEDGER_COUNTRY_PROVCOUNT;Províncias;Provinces;Provinzen;;Provincias;;;;;;;;;x;;;;
LEDGER_COUNTRY_FACTORYCOUNT;Fábricas;Usines;Fabriken;;Fábricas;;;;;;;;;x;;;;
LEDGER_COUNTRY_LITERACY;Alfabetização;Alphabétisation;Alphabetisierung;;Alfabetización;;;;;;;;;x;;;;
LEDGER_COUNTRY_LEADERSHIP;Liderança;Commandement;Anführerschaft;;Liderazgo;;;;;;;;;x;;;;
LEDGER_COUNTRY_DIVISIONS;Brigadas;Régiments;Divisionen;;Brigadas;;;;;;;;;x;;;;
LEDGER_COUNTRY_SHIPS;Navios;Navires;Schiffe;;Barcos;;;;;;;;;x;;;;
